imdb_id,script_id,title,year,gross (inflation-adjusted),link
tt0019777,4031,The Cocoanuts,1929,,"http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Cocoanuts,_The.pdf"
tt0021884,8521,Frankenstein,1931,298,Frankenstein (Florey & Fort) [1931-5-23] [Scan].pdf
tt0022054,1086,The Last Flight,1931,,"film_20100519/all_imsdb_05_19_10/Last-Flight,-The.html"
tt0022626,1631,American Madness,1932,,http://www.imsdb.com/Movie Scripts/American Madness Script.html
tt0022958,2438,Grand Hotel,1932,,http://www.imsdb.com/Movie Scripts/Grand Hotel Script.html
tt0023622,5154,Trouble in Paradise,1932,,http://www.aellea.com/emruf3/tip.html
tt0023686,5217,What Price Hollywood?,1932,,http://www.aellea.com/scripts/WHAT.pdf
tt0023969,873,Duck Soup,1933,,film_20100519/all_imsdb_05_19_10/Duck-Soup.html
tt0024216,8174,King Kong,1933,,King Kong - 1933 Orig. (Includes End Notes) (Digital).pdf
tt0024368,4677,Mystery of the Wax Museum,1933,,http://www.aellea.com/script/qWAX.htm
tt0025878,5115,The Thin Man,1934,,http://www.dailyscript.com/scripts/thethinman.html
tt0025905,5147,Transatlantic Merry-Go-Round,1934,,http://www.aellea.com/emruf3/tm.html
tt0027996,2954,Mr. Deeds Goes to Town,1936,,http://www.imsdb.com/Movie Scripts/Mr Deeds Goes to Town Script.html
tt0029162,2807,Lost Horizon,1937,,http://www.imsdb.com/Movie Scripts/Lost Horizon Script.html
tt0031679,4658,Mr. Smith Goes to Washington,1939,,http://www.dailyscript.com/scripts/Mr%20Smith%20Goes%20To%20Washington.txt
tt0031725,3016,Ninotchka,1939,45,http://www.dailyscript.com/scripts/Ninotchka.txt
tt0032138,1483,The Wizard of Oz,1939,839,"film_20100519/all_imsdb_05_19_10/Wizard-of-Oz,-The.html"
tt0032551,2442,The Grapes of Wrath,1940,,"http://www.imsdb.com/Movie Scripts/Grapes of Wrath, The Script.html"
tt0032599,1015,His Girl Friday,1940,,film_20100519/all_imsdb_05_19_10/His-Girl-Friday.html
tt0033467,808,Citizen Kane,1941,,film_20100519/all_imsdb_05_19_10/Citizen-Kane.html
tt0033553,8239,Dr. Jekyll and Mr. Hyde,1941,,Dr. Jekyll and Mr. Hyde (John Lee Mahin) (Shooting Script - 1941).pdf
tt0033891,2884,Meet John Doe,1941,,http://www.imsdb.com/Movie Scripts/Meet John Doe Script.html
tt0034240,7850,Sullivan's Travels,1941,,Sullivan's Travels.pdf
tt0035423,1213,Kate & Leopold,2001,72,film_20100519/all_imsdb_05_19_10/Kate-&-Leopold.html
tt0036027,4396,I Walked with a Zombie,1943,,http://www.dailyscript.com/scripts/i-walked_with_a_zombie.html
tt0036104,4520,The Leopard Man,1943,,http://www.dailyscript.com/scripts/theleopardman.htm
tt0036341,4940,The Seventh Victim,1943,,http://www.dailyscript.com/scripts/SeventhVictim.htm
tt0036733,4064,The Curse of the Cat People,1944,,http://www.dailyscript.com/scripts/cursecat.htm
tt0036775,869,Double Indemnity,1944,,film_20100519/all_imsdb_05_19_10/Double-Indemnity.html
tt0037343,1394,Tall in the Saddle,1944,,film_20100519/all_imsdb_05_19_10/Tall-in-the-Saddle.html
tt0037549,3949,The Body Snatcher,1945,,http://www.dailyscript.com/scripts/TheBodySnatcher.htm
tt0037820,4437,Isle of the Dead,1945,,http://www.dailyscript.com/scripts/isleofthedead.htm
tt0037884,7494,The Lost Weekend,1945,,Lost Weekend (1945).pdf
tt0038650,2642,It's a Wonderful Life,1946,,http://www.aellea.com/script/itsawonderfullife.txt
tt0040202,3984,Call Northside 777,1948,,http://www.dailyscript.com/scripts/call_northside_777-1.pdf
tt0040525,8602,The Lady from Shanghai,1947,,Lady From Shanghai (Orson Welles) (Final Draft - 8-17-1946).pdf
tt0040613,2952,Mr. Blandings Builds His Dream House,1948,,http://www.imsdb.com/Movie Scripts/Mr Blandings Builds His Dream House Script.html
tt0040835,1369,Station West,1948,,film_20100519/all_imsdb_05_19_10/Station-West.html
tt0041827,1292,Roughshod,1949,,film_20100519/all_imsdb_05_19_10/Roughshod.html
tt0041866,7526,She Wore a Yellow Ribbon,1949,,She Wore a Yellow Ribbon - 1948-10-16 - Shooting script.pdf
tt0041959,6003,The Third Man,1949,8,https://www.dropbox.com/sh/jpxh25l44yke4np/AAAPTEZGOIBNJa5WHGGYrsOZa/THIRD%20MAN%2C%20THE%20%281949%29%20Graham%20Greene.pdf?dl=0
tt0043014,3466,Sunset Blvd.,1950,,http://www.dailyscript.com/scripts/sunset_bld_3_21_49.html
tt0043456,849,The Day The Earth Stood Still,1951,,"film_20100519/all_imsdb_05_19_10/Day-the-Earth-Stood-Still,-The.html"
tt0045943,8307,Julius Caesar,1953,,Julius Caesar - 1952-07-07 - Draft.pdf
tt0046359,5022,Stalag 17,1953,,http://www.dailyscript.com/scripts/Stalag%2017.txt
tt0046534,5197,The War of the Worlds,1953,,http://www.scifiscripts.com/scripts/WARWORLDS.txt
tt0047296,4745,On the Waterfront,1954,185,http://www.dailyscript.com/scripts/onthewaterfront.html
tt0047396,3182,Rear Window,1954,30,http://www.imsdb.com/Movie Scripts/Rear Window Script.html
tt0047443,4906,Salt of the Earth,1954,,http://www.aellea.com/script/salt.txt
tt0047478,8431,Seven Samurai,1954,,Seven Samurai (Akira Kurosawa & Shinobu Hashimoto & Hideo Oguni) (Translated by Donald Richie).pdf
tt0047673,1466,White Christmas,1954,,film_20100519/all_imsdb_05_19_10/White-Christmas.html
tt0047849,1740,Bad Day at Black Rock,1955,,http://www.imsdb.com/Movie Scripts/Bad Day at Black Rock Script.html
tt0049470,2838,The Man Who Knew Too Much,1956,,"http://www.imsdb.com/Movie Scripts/Man Who Knew Too Much, The Script.html"
tt0049730,3289,The Searchers,1956,,"http://www.imsdb.com/Movie Scripts/Searchers, The Script.html"
tt0050105,3807,An Affair to Remember,1957,,http://www.dailyscript.com/scripts/an_affair_to_remember.pdf
tt0050976,1309,The Seventh Seal,1957,,"film_20100519/all_imsdb_05_19_10/Seventh-Seal,-The.html"
tt0051036,1387,Sweet Smell of Success,1957,,film_20100519/all_imsdb_05_19_10/Sweet-Smell-of-Success.html
tt0051201,6701,Witness for the Prosecution,1957,,Witness for the Prosecution (1957.06.10).pdf
tt0052311,6006,Touch of Evil,1958,38,https://www.dropbox.com/sh/jpxh25l44yke4np/AABv8zPog9rCXAWrYZrOGSria/TOUCH%20OF%20EVIL%20%281958%29%20Orson%20Welles%20%5B1957-02-05%5D.pdf?dl=0
tt0052357,3659,Vertigo,1958,29,http://www.dailyscript.com/scripts/vertigo.html
tt0052561,8699,Anatomy of a Murder,1959,,http://indiegroundfilms.files.wordpress.com/2013/08/anatomy-of-a-murder-feb25-59-final-numbered.pdf
tt0053125,7080,North by Northwest,1959,,NorthByNorthwest.pdf
tt0053285,5525,Sleeping Beauty,1959,880,http://www.fpx.de/fp/Disney/Scripts/SleepingBeauty/sb.html
tt0053291,4990,Some Like It Hot,1959,426,http://www.aellea.com/script/somelikeithot_script.txt
tt0053604,1673,The Apartment,1960,,"http://www.imsdb.com/Movie Scripts/Apartment, The Script.html"
tt0053619,701,L'Avventura,1960,,"film_20100519/all_imsdb_05_19_10/Avventura,-L'-(The-Adventure).html"
tt0054167,1221,Peeping Tom,1960,,film_20100519/all_imsdb_05_19_10/Peeping-Tom.html
tt0054215,1251,Psycho,1960,545,film_20100519/all_imsdb_05_19_10/Psycho.html
tt0054240,1208,Orgy of the Dead,1965,,film_20100519/all_imsdb_05_19_10/Orgy-of-the-Dead.html
tt0054997,4390,The Hustler,1961,,"http://www.dailyscript.com/scripts/Hustler,+The.txt"
tt0055601,5189,Viridiana,1961,,http://www.aellea.com/script/viridiana.txt
tt0056869,1826,The Birds,1963,,"http://www.imsdb.com/Movie Scripts/Birds, The Script.html"
tt0058414,4721,Nothing But a Man,1964,,http://www.aellea.com/emruf3/nbam.html
tt0058946,1780,The Battle of Algiers,1966,6,"http://www.imsdb.com/Movie Scripts/Battle of Algiers, The Script.html"
tt0059037,805,The Cincinnati Kid,1965,,"film_20100519/all_imsdb_05_19_10/Cincinnati-Kid,-The.html"
tt0060397,4198,Fantastic Voyage,1966,,http://www.scifiscripts.com/scripts/fantasticvoyager.txt
tt0060490,7607,Harper,1966,,Harper (1966) [1965-6-9] [Rev. Final] [Scan].pdf
tt0061418,1882,Bonnie and Clyde,1967,,http://www.imsdb.com/Movie Scripts/Bonnie and Clyde Script.html
tt0061512,4041,Cool Hand Luke,1967,,http://www.aellea.com/script/cool_hand_luke.html
tt0061619,7075,El Dorado,1966,47,El Dorado.pdf
tt0061722,2432,The Graduate,1967,,"http://www.imsdb.com/Movie Scripts/Graduate, The Script.html"
tt0061852,5534,The Jungle Book,1967,1029,http://www.cubbi.org/disney/scripts/tjb.txt
tt0062622,625,2001: A Space Odyssey,1968,376,film_20100519/all_imsdb_05_19_10/2001-A-Space-Odyssey.html
tt0063426,1225,Petulia,1968,,film_20100519/all_imsdb_05_19_10/Petulia.html
tt0063442,4791,Planet of the Apes,1968,172,http://www.scifiscripts.com/scripts/planetofapes67.txt
tt0064665,2901,Midnight Cowboy,1969,,http://www.imsdb.com/Movie Scripts/Midnight Cowboy Script.html
tt0065214,1475,The Wild Bunch,1969,,"film_20100519/all_imsdb_05_19_10/Wild-Bunch,-The.html"
tt0065462,3919,Beneath the Planet of the Apes,1970,,http://pota.goatley.com/scripts/pota_beneath_final.pdf
tt0065528,7463,Catch-22,1970,,Catch 22.pdf
tt0065724,916,Five Easy Pieces,1970,,film_20100519/all_imsdb_05_19_10/Five-Easy-Pieces.html
tt0066026,6514,MASH,1970,458,MASH.pdf
tt0066249,3140,The Private Life of Sherlock Holmes,1970,,"http://www.imsdb.com/Movie Scripts/Private Life of Sherlock Holmes, The Script.html"
tt0066302,4879,The Rise and Rise of Michael Rimmer,1970,,"http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Rise_and_Rise_of_Michael_Rimmer,_The.pdf"
tt0066434,5130,THX 1138,1971,,http://www.dailyscript.com/scripts/thx1138.html
tt0066921,4022,A Clockwork Orange,1971,,http://www.horrorlair.com/scripts/clockwork_orange.html
tt0067023,8164,Duel,1971,,"Duel (Richard Matheson) (Revision; September 1, 1971).pdf"
tt0067116,2328,The French Connection,1971,,"http://www.imsdb.com/Movie Scripts/French Connection, The Script.html"
tt0067180,983,"Happy Birthday, Wanda June",1971,,"film_20100519/all_imsdb_05_19_10/Happy-Birthday,-Wanda-June.html"
tt0067185,4337,Harold and Maude,1971,,http://www.dailyscript.com/scripts/Harold-and-Maude.htm
tt0067217,1017,The Hospital,1971,,"film_20100519/all_imsdb_05_19_10/Hospital,-The.html"
tt0067309,2713,Klute,1971,,http://www.dailyscript.com/scripts/klute.html
tt0067525,3038,The Omega Man,1971,,http://www.dailyscript.com/scripts/i_am_legend_6_26_70.html
tt0067588,6128,Play Misty for Me,1971,,Play Misty For Me (Jo Heims & Dean Riesner - Missing Title Page - Undated) [Scan] [Reduced].pdf
tt0067893,7209,Two-Lane Blacktop,1971,,Two Lane Blacktop (1970.01.05) [Scan].pdf
tt0067927,7450,Vanishing Point,1971,,VanishingPoint-GCain 1st draft-June1969.pdf
tt0067991,5236,Willard,1971,101,http://www.horrorlair.com/scripts/willard.html
tt0068327,3980,Cabaret,1972,219,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Cabaret.pdf
tt0068408,4038,Conquest of the Planet of the Apes,1972,,http://pota.goatley.com/scripts/pota_conquest_finalshooting.pdf
tt0068451,846,The Day the Clown Cried,1972,,"film_20100519/all_imsdb_05_19_10/Day-the-Clown-Cried,-The.html"
tt0068473,4101,Deliverance,1972,,http://www.dailyscript.com/scripts/deliverance.pdf
tt0068638,2387,The Getaway,1972,138,http://www.dailyscript.com/scripts/getaway.html
tt0068646,4277,The Godfather,1972,690,http://www.awesomefilm.com/script/THEGODFATHER.txt
tt0068762,8120,Jeremiah Johnson,1972,,Jeremiah Johnson [Undated] [Scan].pdf
tt0069113,4810,The Poseidon Adventure,1972,477,http://www.scifiscripts.com/scripts/Poseidon_Adventure.pdf
tt0069303,5003,Sounder,1972,,http://www.aellea.com/script/sounder.txt
tt0069704,666,American Graffiti,1973,565,film_20100519/all_imsdb_05_19_10/American-Graffiti.html
tt0069762,1747,Badlands,1973,,http://www.imsdb.com/Movie Scripts/Badlands Script.html
tt0069945,2108,Dark Star,1974,,http://www.imsdb.com/Movie Scripts/Dark Star Script.html
tt0070034,8532,Enter the Dragon,1973,,Enter The Dragon (1973) [1972-12-7] [Rev. 1972-12-19] [Scan].pdf
tt0070047,4184,The Exorcist,1973,195,http://www.horrorlair.com/scripts/exorcist.html
tt0070328,6101,Live and Let Die,1973,174,Live And Let Die (1972.10.02) [Scan].pdf
tt0070334,6511,The Long Goodbye,1973,,"Long_Goodbye,_The_(1972).pdf"
tt0070355,6155,Magnum Force,1973,,Magnum Force [1973.03.05] [Rev. Final] [Scan].pdf
tt0070379,4606,Mean Streets,1973,,http://www.dailyscript.com/scripts/meanstreet.html
tt0070518,7210,Pat Garrett & Billy the Kid,1973,,Pat Garret And Billy The Kid.pdf
tt0070666,7454,Serpico,1973,,Serpico [1973.06.18].pdf
tt0070735,1370,The Sting,1973,786,"film_20100519/all_imsdb_05_19_10/Sting,-The.html"
tt0070849,2743,Last Tango in Paris,1972,,http://www.imsdb.com/Movie Scripts/Last Tango in Paris Script.html
tt0071230,8301,Blazing Saddles,1974,558,Blazing Saddles - Screenplay.pdf
tt0071315,1999,Chinatown,1974,,http://www.awesomefilm.com/script/chinatown.txt
tt0071562,4280,The Godfather: Part II,1974,266,http://www.dailyscript.com/scripts/godfather2.html
tt0071970,4769,The Parallax View,1974,,http://www.dailyscript.com/scripts/The_Parallax_View_-_Original_Draft.pdf
tt0072431,5254,Young Frankenstein,1974,401,http://www.horrorlair.com/scripts/young.txt
tt0072684,716,Barry Lyndon,1975,,film_20100519/all_imsdb_05_19_10/Barry-Lyndon.html
tt0072890,864,Dog Day Afternoon,1975,,film_20100519/all_imsdb_05_19_10/Dog-Day-Afternoon.html
tt0073018,6333,French Connection II,1975,,French Connection 2 (1975) [1974-6-26] [Scan].pdf
tt0073092,8404,Hard Times,1975,21,Hard Times.pdf
tt0073195,2666,Jaws,1975,1103,http://www.dailyscript.com/scripts/Jaws.txt
tt0073349,4588,Mandingo,1975,,http://www.dailyscript.com/scripts/mandingo1.pdf
tt0073440,2980,Nashville,1975,,http://www.imsdb.com/Movie Scripts/Nashville Script.html
tt0073629,1281,The Rocky Horror Picture Show,1975,594,"film_20100519/all_imsdb_05_19_10/Rocky-Horror-Picture-Show,-The.html"
tt0073692,3314,Shampoo,1975,,http://www.imsdb.com/Movie Scripts/Shampoo Script.html
tt0073705,1324,Shivers,1975,,film_20100519/all_imsdb_05_19_10/Shivers.html
tt0073747,7610,The Stepford Wives,1975,,Stepford Wives.pdf
tt0073802,5126,Three Days of the Condor,1975,,http://www.awesomefilm.com/script/ThreeDaysoftheCondor.pdf
tt0073906,7814,The Wind and the Lion,1975,,"Wind and the Lion, The [Scan].pdf"
tt0073918,8323,The Yakuza,1974,,"Yakuza, The - Schrader - p.56&88.pdf"
tt0074119,7583,All the President's Men,1976,,ALL THE PRESIDENT'S MEN - 1975.03 draft by William Goldman.1.pdf
tt0074512,7089,Family Plot,1976,,"Family Plot (Missing pages 91,130,136).pdf"
tt0074812,4543,Logan's Run,1976,102,http://www.dailyscript.com/scripts/Logans+Run.txt
tt0074958,4688,Network,1976,,http://sfy.ru/sfy.html?script=network
tt0074991,6509,Obsession,1976,,Obsession_011775.pdf
tt0075029,6163,The Outlaw Josey Wales,1976,,"Outlaw Josey Wales, The (1975.09.10).pdf"
tt0075148,1284,Rocky,1976,477,film_20100519/all_imsdb_05_19_10/Rocky.html
tt0075194,6454,The Seven-Per-Cent Solution,1976,,"Seven Per-Cent Solution, The.pdf"
tt0075223,4959,Silver Streak,1976,,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Silver_Streak.pdf
